state,constituency,state_key,constituency_key,completion_category,exists_in_election_master,exists_in_frontend_constituencies,exists_in_geojson,exists_in_delimitation_reference,possible_state_alias,possible_constituency_alias,closest_delimitation_match,closest_frontend_match,skip_reason,districts_missing,autofill_rows_created,expected_core_fields,recommended_action
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,election_only_needs_demographics,True,True,True,True,,,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",Andhra Pradesh / Amalapuram,partial_field_skip,,7,10,manual_research_required
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,partial_demographics_missing_core_fields,True,True,False,True,,,ANAKAPALLE,Andhra Pradesh / Anakapalle,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,partial_demographics_missing_core_fields,True,True,True,True,,,ARAKU,Andhra Pradesh / Araku,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,partial_demographics_missing_core_fields,True,True,True,True,,,BAPATLA,Andhra Pradesh / Bapatla,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Eluru,ANDHRA PRADESH,ELURU,partial_demographics_missing_core_fields,True,True,True,True,,,ELURU,Andhra Pradesh / Eluru,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,partial_demographics_missing_core_fields,True,True,True,True,,,GUNTUR,Andhra Pradesh / Guntur,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Hindupur,ANDHRA PRADESH,HINDUPUR,partial_demographics_missing_core_fields,True,True,True,True,,,HINDUPUR,Andhra Pradesh / Hindupur,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Kadapa,ANDHRA PRADESH,KADAPA,election_only_needs_demographics,True,True,True,True,,,KADAPA,Andhra Pradesh / Kadapa,no_delimitation_mapping,KADAPA,0,10,add_missing_delimitation_mapping
Andhra Pradesh,Kakinada,ANDHRA PRADESH,KAKINADA,partial_demographics_missing_core_fields,True,True,True,True,,,KAKINADA,Andhra Pradesh / Kakinada,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Kurnoolu,ANDHRA PRADESH,KURNOOLU,election_only_needs_demographics,True,True,False,True,,,KURNOOL,Andhra Pradesh / Kurnoolu,partial_field_skip,,7,10,manual_research_required
Andhra Pradesh,Machilipatnam,ANDHRA PRADESH,MACHILIPATNAM,partial_demographics_missing_core_fields,True,True,True,True,,,MACHILIPATNAM,Andhra Pradesh / Machilipatnam,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Nandyal,ANDHRA PRADESH,NANDYAL,partial_demographics_missing_core_fields,True,True,True,True,,,NANDYAL,Andhra Pradesh / Nandyal,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Narsapuram,ANDHRA PRADESH,NARSAPURAM,partial_demographics_missing_core_fields,True,True,True,True,,,NARSAPURAM,Andhra Pradesh / Narsapuram,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Narsaraopet,ANDHRA PRADESH,NARASARAOPET,election_only_needs_demographics,False,False,True,True,,Andhra Pradesh / Amalapuram,NARASARAOPET,Andhra Pradesh / Amalapuram,census_value_unavailable,,0,10,map_alias_to_current_name
Andhra Pradesh,Nellore,ANDHRA PRADESH,NELLORE,partial_demographics_missing_core_fields,True,True,True,True,,,NELLORE,Andhra Pradesh / Nellore,partial_field_skip,NELLORE,6,9,manual_research_required
Andhra Pradesh,Ongole,ANDHRA PRADESH,ONGOLE,partial_demographics_missing_core_fields,True,True,True,True,,,ONGOLE,Andhra Pradesh / Ongole,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Rajahmundry,ANDHRA PRADESH,RAJAHMUNDRY,partial_demographics_missing_core_fields,True,True,True,True,,,RAJAHMUNDRY,Andhra Pradesh / Rajahmundry,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Rajampet,ANDHRA PRADESH,RAJAMPET,partial_demographics_missing_core_fields,True,True,True,True,,,RAJAMPET,Andhra Pradesh / Rajampet,partial_field_skip,KADAPA,6,9,manual_research_required
Andhra Pradesh,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,partial_demographics_missing_core_fields,True,True,True,True,,,SRIKAKULAM,Andhra Pradesh / Srikakulam,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,TIRUPATI,election_only_needs_demographics,False,False,True,True,,Andhra Pradesh / Amalapuram,TIRUPATI,Andhra Pradesh / Amalapuram,census_value_unavailable,NELLORE,0,10,likely_duplicate
Andhra Pradesh,Vijayawada,ANDHRA PRADESH,VIJAYAWADA,partial_demographics_missing_core_fields,True,True,True,True,,,VIJAYAWADA,Andhra Pradesh / Vijayawada,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,partial_demographics_missing_core_fields,True,True,True,True,,,VISAKHAPATNAM,Andhra Pradesh / Visakhapatnam,partial_field_skip,,6,9,manual_research_required
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,partial_demographics_missing_core_fields,True,True,True,True,,,VIZIANAGARAM,Andhra Pradesh / Vizianagaram,partial_field_skip,,6,9,manual_research_required
Arunachal Pradesh,Arunachal East,ARUNACHAL PRADESH,ARUNACHAL EAST,election_only_needs_demographics,True,True,True,True,,,ARUNACHAL WEST,Arunachal Pradesh / Arunachal East,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Arunachal Pradesh,Arunachal West,ARUNACHAL PRADESH,ARUNACHAL WEST,partial_demographics_missing_core_fields,True,True,True,True,,,ARUNACHAL WEST,Arunachal Pradesh / Arunachal East,partial_field_skip,,6,9,manual_research_required
Assam,Barpeta,ASSAM,BARPETA,partial_demographics_missing_core_fields,True,True,True,True,,,Barpeta,Assam / Barpeta,partial_field_skip,,6,9,manual_research_required
Assam,Darrang-Udalguri,ASSAM,DARRANG UDALGURI,election_only_needs_demographics,True,True,False,False,,,,Assam / Darrang-Udalguri,no_delimitation_mapping,,0,10,likely_duplicate
Assam,Dibrugarh,ASSAM,DIBRUGARH,partial_demographics_missing_core_fields,True,True,True,True,,,Dibrugarh,Assam / Dibrugarh,partial_field_skip,,6,9,manual_research_required
Assam,Diphu,ASSAM,DIPHU,election_only_needs_demographics,True,True,False,False,,,,Assam / Diphu,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Assam,Guwahati,ASSAM,GUWAHATI,election_only_needs_demographics,True,True,False,False,,,,Assam / Guwahati,partial_field_skip,,7,10,manual_research_required
Assam,Jorhat,ASSAM,JORHAT,partial_demographics_missing_core_fields,True,True,True,True,,,Jorhat,Assam / Jorhat,partial_field_skip,,6,9,manual_research_required
Assam,Karimganj,ASSAM,KARIMGANJ,partial_demographics_missing_core_fields,True,True,True,True,,,Karimganj,Assam / Karimganj,partial_field_skip,,6,9,manual_research_required
Assam,Kaziranga,ASSAM,KAZIRANGA,election_only_needs_demographics,True,True,False,False,,,,Assam / Kaziranga,partial_field_skip,,7,10,manual_research_required
Assam,Kokrajhar,ASSAM,KOKRAJHAR,partial_demographics_missing_core_fields,True,True,True,True,,,Kokrajhar,Assam / Kokrajhar,partial_field_skip,,6,9,manual_research_required
Assam,Lakhimpur,ASSAM,LAKHIMPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Lakhimpur,Assam / Lakhimpur,partial_field_skip,,6,9,manual_research_required
Assam,Nagaon,ASSAM,NAGAON,election_only_needs_demographics,True,True,False,False,,,,Assam / Nagaon,no_delimitation_mapping,,0,10,likely_duplicate
Assam,Silchar,ASSAM,SILCHAR,partial_demographics_missing_core_fields,True,True,True,True,,,Silchar,Assam / Silchar,partial_field_skip,,6,9,manual_research_required
Bihar,Araria,BIHAR,ARARIA,partial_demographics_missing_core_fields,True,True,True,True,,,Araria,Bihar / Araria,partial_field_skip,,6,9,manual_research_required
Bihar,Arrah,BIHAR,ARRAH,partial_demographics_missing_core_fields,True,True,True,True,,,Arrah,Bihar / Arrah,partial_field_skip,,6,9,manual_research_required
Bihar,Aurangabad,BIHAR,AURANGABAD,partial_demographics_missing_core_fields,True,True,True,True,,,Aurangabad,Bihar / Aurangabad,partial_field_skip,,6,9,manual_research_required
Bihar,Banka,BIHAR,BANKA,partial_demographics_missing_core_fields,True,True,True,True,,,Banka,Bihar / Banka,partial_field_skip,,6,9,manual_research_required
Bihar,Begusarai,BIHAR,BEGUSARAI,partial_demographics_missing_core_fields,True,True,True,True,,,Begusarai,Bihar / Begusarai,partial_field_skip,,6,9,manual_research_required
Bihar,Bhagalpur,BIHAR,BHAGALPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Bhagalpur,Bihar / Bhagalpur,partial_field_skip,,6,9,manual_research_required
Bihar,Buxar,BIHAR,BUXAR,partial_demographics_missing_core_fields,True,True,True,True,,,Buxar,Bihar / Buxar,partial_field_skip,,6,9,manual_research_required
Bihar,Darbhanga,BIHAR,DARBHANGA,partial_demographics_missing_core_fields,True,True,True,True,,,Darbhanga,Bihar / Darbhanga,partial_field_skip,,6,9,manual_research_required
Bihar,Gaya,BIHAR,GAYA,partial_demographics_missing_core_fields,True,True,True,True,,,Gaya,Bihar / Gaya,partial_field_skip,,6,9,manual_research_required
Bihar,Gopalganj,BIHAR,GOPALGANJ,election_only_needs_demographics,True,True,True,True,,,Gopalganj 99-Baikunthpur,Bihar / Gopalganj,partial_field_skip,,7,10,manual_research_required
Bihar,Hajipur,BIHAR,HAJIPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Hajipur,Bihar / Hajipur,partial_field_skip,,6,9,manual_research_required
Bihar,Jahanabad,BIHAR,JAHANABAD,partial_demographics_missing_core_fields,True,True,True,True,,,Jahanabad,Bihar / Jahanabad,partial_field_skip,,6,9,manual_research_required
Bihar,Jamui,BIHAR,JAMUI,partial_demographics_missing_core_fields,True,True,True,True,,,Jamui,Bihar / Jamui,partial_field_skip,,6,9,manual_research_required
Bihar,Jhanjharpur,BIHAR,JHANJHARPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Jhanjharpur,Bihar / Jhanjharpur,partial_field_skip,,6,9,manual_research_required
Bihar,Karakat,BIHAR,KARAKAT,partial_demographics_missing_core_fields,True,True,True,True,,,Karakat,Bihar / Karakat,partial_field_skip,,6,9,manual_research_required
Bihar,Khagaria,BIHAR,KHAGARIA,partial_demographics_missing_core_fields,True,True,True,True,,,Khagaria,Bihar / Khagaria,partial_field_skip,,6,9,manual_research_required
Bihar,Kishanganj,BIHAR,KISHANGANJ,partial_demographics_missing_core_fields,True,True,True,True,,,Kishanganj,Bihar / Kishanganj,partial_field_skip,,6,9,manual_research_required
Bihar,Madhubani,BIHAR,MADHUBANI,partial_demographics_missing_core_fields,True,True,True,True,,,Madhubani,Bihar / Madhubani,partial_field_skip,,6,9,manual_research_required
Bihar,Maharajganj,BIHAR,MAHARAJGANJ,partial_demographics_missing_core_fields,True,True,True,True,,,Maharajganj,Bihar / Maharajganj,partial_field_skip,,6,9,manual_research_required
Bihar,Munger,BIHAR,MUNGER,partial_demographics_missing_core_fields,True,True,True,True,,,Munger,Bihar / Munger,partial_field_skip,,6,9,manual_research_required
Bihar,Muzaffarpur,BIHAR,MUZAFFARPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Muzaffarpur,Bihar / Muzaffarpur,partial_field_skip,,6,9,manual_research_required
Bihar,Nawada,BIHAR,NAWADA,partial_demographics_missing_core_fields,True,True,True,True,,,Nawada,Bihar / Nawada,partial_field_skip,,6,9,manual_research_required
Bihar,Paschim Champaran,BIHAR,PASCHIM CHAMPARAN,partial_demographics_missing_core_fields,True,True,True,True,,,Paschim Champaran,Bihar / Paschim Champaran,partial_field_skip,,6,9,manual_research_required
Bihar,Patna Sahib,BIHAR,PATNA SAHIB,partial_demographics_missing_core_fields,True,True,True,True,,,Patna Sahib,Bihar / Patna Sahib,partial_field_skip,,6,9,manual_research_required
Bihar,Purnia,BIHAR,PURNIA,partial_demographics_missing_core_fields,True,True,True,True,,,Purnia,Bihar / Purnia,partial_field_skip,,6,9,manual_research_required
Bihar,Samastipur,BIHAR,SAMASTIPUR,election_only_needs_demographics,True,True,True,False,,,,Bihar / Samastipur,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Bihar,Saran,BIHAR,SARAN,partial_demographics_missing_core_fields,True,True,True,True,,,Saran,Bihar / Saran,partial_field_skip,,6,9,manual_research_required
Bihar,Sasaram,BIHAR,SASARAM,partial_demographics_missing_core_fields,True,True,True,True,,,Sasaram,Bihar / Sasaram,partial_field_skip,,6,9,manual_research_required
Bihar,Sheohar,BIHAR,SHEOHAR,partial_demographics_missing_core_fields,True,True,True,True,,,Sheohar,Bihar / Sheohar,partial_field_skip,,6,9,manual_research_required
Bihar,Sitamarhi,BIHAR,SITAMARHI,partial_demographics_missing_core_fields,True,True,True,True,,,Sitamarhi,Bihar / Sitamarhi,partial_field_skip,,6,9,manual_research_required
Bihar,Siwan,BIHAR,SIWAN,partial_demographics_missing_core_fields,True,True,True,True,,,Siwan,Bihar / Siwan,partial_field_skip,,6,9,manual_research_required
Bihar,Supaul,BIHAR,SUPAUL,partial_demographics_missing_core_fields,True,True,True,True,,,Supaul,Bihar / Supaul,partial_field_skip,,6,9,manual_research_required
Bihar,Ujiarpur,BIHAR,UJIARPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Ujiarpur,Bihar / Ujiarpur,partial_field_skip,,6,9,manual_research_required
Bihar,Vaishali,BIHAR,VAISHALI,partial_demographics_missing_core_fields,True,True,True,True,,,Vaishali,Bihar / Vaishali,partial_field_skip,,6,9,manual_research_required
Bihar,Valmiki Nagar,BIHAR,VALMIKI NAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Valmiki Nagar,Bihar / Valmiki Nagar,partial_field_skip,,6,9,manual_research_required
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,election_only_needs_demographics,True,True,True,False,,,,Chandigarh / Chandigarh,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Chhattisgarh,BASTAR,CHHATTISGARH,BASTAR,partial_demographics_missing_core_fields,True,True,True,True,,,Bastar,Chhattisgarh / BASTAR,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,BILASPUR,CHHATTISGARH,BILASPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Bilaspur,Chhattisgarh / BILASPUR,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,DURG,CHHATTISGARH,DURG,partial_demographics_missing_core_fields,True,True,True,True,,,Durg,Chhattisgarh / DURG,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,JANJGIR-CHAMPA,CHHATTISGARH,JANJGIR CHAMPA,election_only_needs_demographics,True,True,False,False,,,,Chhattisgarh / JANJGIR-CHAMPA,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Chhattisgarh,KANKER,CHHATTISGARH,KANKER,partial_demographics_missing_core_fields,True,True,True,True,,,Kanker,Chhattisgarh / KANKER,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,KORBA,CHHATTISGARH,KORBA,partial_demographics_missing_core_fields,True,True,True,True,,,Korba,Chhattisgarh / KORBA,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,MAHASAMUND,CHHATTISGARH,MAHASAMUND,partial_demographics_missing_core_fields,True,True,True,True,,,Mahasamund,Chhattisgarh / MAHASAMUND,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,RAIGARH,CHHATTISGARH,RAIGARH,partial_demographics_missing_core_fields,True,True,True,True,,,Raigarh,Chhattisgarh / RAIGARH,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,RAIPUR,CHHATTISGARH,RAIPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Raipur,Chhattisgarh / RAIPUR,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,partial_demographics_missing_core_fields,True,True,True,True,,,Rajnandgaon,Chhattisgarh / RAJNANDGAON,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,SURGUJA,CHHATTISGARH,SURGUJA,partial_demographics_missing_core_fields,True,True,True,True,,,Surguja,Chhattisgarh / SURGUJA,partial_field_skip,,6,9,manual_research_required
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADAR NAGAR HAVELI,election_only_needs_demographics,True,True,False,False,,,,Dadra & Nagar Haveli and Daman & Diu / Dadar & Nagar Haveli,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN DIU,election_only_needs_demographics,True,True,False,False,,,,Dadra & Nagar Haveli and Daman & Diu / Daman & Diu,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Goa,South Goa,GOA,SOUTH GOA,partial_demographics_missing_core_fields,True,True,True,True,,,South Goa,Goa / South Goa,partial_field_skip,,6,9,manual_research_required
Gujarat,Ahmedabad East,GUJARAT,AHMEDABAD EAST,partial_demographics_missing_core_fields,True,True,True,True,,,Ahmedabad East,Gujarat / Ahmedabad East,partial_field_skip,,6,9,manual_research_required
Gujarat,Ahmedabad West,GUJARAT,AHMEDABAD WEST,election_only_needs_demographics,True,True,True,True,,,Ahmedabad East,Gujarat / Ahmedabad East,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Gujarat,Amreli,GUJARAT,AMRELI,partial_demographics_missing_core_fields,True,True,True,True,,,Amreli,Gujarat / Amreli,partial_field_skip,,6,9,manual_research_required
Gujarat,Anand,GUJARAT,ANAND,partial_demographics_missing_core_fields,True,True,True,True,,,Anand,Gujarat / Anand,partial_field_skip,,6,9,manual_research_required
Gujarat,Banaskantha,GUJARAT,BANASKANTHA,partial_demographics_missing_core_fields,True,True,True,True,,,Banaskantha,Gujarat / Banaskantha,partial_field_skip,,6,9,manual_research_required
Gujarat,Bardoli,GUJARAT,BARDOLI,election_only_needs_demographics,True,True,True,True,,,Bardoli,Gujarat / Bardoli,partial_field_skip,,7,10,manual_research_required
Gujarat,Bharuch,GUJARAT,BHARUCH,partial_demographics_missing_core_fields,True,True,True,True,,,Bharuch,Gujarat / Bharuch,partial_field_skip,,6,9,manual_research_required
Gujarat,Bhavnagar,GUJARAT,BHAVNAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Bhavnagar,Gujarat / Bhavnagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Chhota Udaipur,GUJARAT,CHHOTA UDAIPUR,election_only_needs_demographics,True,True,True,False,,,,Gujarat / Chhota Udaipur,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Gujarat,Dahod,GUJARAT,DAHOD,partial_demographics_missing_core_fields,True,True,True,True,,,Dahod,Gujarat / Dahod,partial_field_skip,,6,9,manual_research_required
Gujarat,Gandhinagar,GUJARAT,GANDHINAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Gandhinagar,Gujarat / Gandhinagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Jamnagar,GUJARAT,JAMNAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Jamnagar,Gujarat / Jamnagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Junagadh,GUJARAT,JUNAGADH,partial_demographics_missing_core_fields,True,True,True,True,,,Junagadh,Gujarat / Junagadh,partial_field_skip,,6,9,manual_research_required
Gujarat,Kachchh,GUJARAT,KACHCHH,partial_demographics_missing_core_fields,True,True,True,True,,,Kachchh,Gujarat / Kachchh,partial_field_skip,,6,9,manual_research_required
Gujarat,Kheda,GUJARAT,KHEDA,partial_demographics_missing_core_fields,True,True,True,True,,,Kheda,Gujarat / Kheda,partial_field_skip,,6,9,manual_research_required
Gujarat,Mahesana,GUJARAT,MAHESANA,partial_demographics_missing_core_fields,True,True,True,True,,,Mahesana,Gujarat / Mahesana,partial_field_skip,,6,9,manual_research_required
Gujarat,Navsari,GUJARAT,NAVSARI,election_only_needs_demographics,True,True,True,True,,,Navsari,Gujarat / Navsari,partial_field_skip,,7,10,manual_research_required
Gujarat,Panchmahal,GUJARAT,PANCHMAHAL,partial_demographics_missing_core_fields,True,True,True,True,,,Panchmahal,Gujarat / Panchmahal,partial_field_skip,,6,9,manual_research_required
Gujarat,Patan,GUJARAT,PATAN,partial_demographics_missing_core_fields,True,True,True,True,,,Patan,Gujarat / Patan,partial_field_skip,,6,9,manual_research_required
Gujarat,Porbandar,GUJARAT,PORBANDAR,partial_demographics_missing_core_fields,True,True,True,True,,,Porbandar,Gujarat / Porbandar,partial_field_skip,,6,9,manual_research_required
Gujarat,Rajkot,GUJARAT,RAJKOT,partial_demographics_missing_core_fields,True,True,True,True,,,Rajkot,Gujarat / Rajkot,partial_field_skip,,6,9,manual_research_required
Gujarat,Sabarkantha,GUJARAT,SABARKANTHA,partial_demographics_missing_core_fields,True,True,True,True,,,Sabarkantha,Gujarat / Sabarkantha,partial_field_skip,,6,9,manual_research_required
Gujarat,Surendranagar,GUJARAT,SURENDRANAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Surendranagar,Gujarat / Surendranagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Vadodara,GUJARAT,VADODARA,partial_demographics_missing_core_fields,True,True,True,True,,,Vadodara,Gujarat / Vadodara,partial_field_skip,,6,9,manual_research_required
Gujarat,Valsad,GUJARAT,VALSAD,partial_demographics_missing_core_fields,True,True,True,True,,,Valsad,Gujarat / Valsad,partial_field_skip,,6,9,manual_research_required
Haryana,AMBALA,HARYANA,AMBALA,partial_demographics_missing_core_fields,True,True,True,True,,,Ambala,Haryana / AMBALA,partial_field_skip,,6,9,manual_research_required
Haryana,BHIWANI-MAHENDRAGARH,HARYANA,BHIWANI MAHENDRAGARH,election_only_needs_demographics,True,True,True,True,,,Bhiwani,Haryana / BHIWANI-MAHENDRAGARH,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Haryana,FARIDABAD,HARYANA,FARIDABAD,partial_demographics_missing_core_fields,True,True,True,True,,,Faridabad,Haryana / FARIDABAD,partial_field_skip,,6,9,manual_research_required
Haryana,SIRSA,HARYANA,SIRSA,partial_demographics_missing_core_fields,True,True,True,True,,,Sirsa,Haryana / SIRSA,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,KANGRA,HIMACHAL PRADESH,KANGRA,partial_demographics_missing_core_fields,True,True,True,True,,,Kangra,Himachal Pradesh / KANGRA,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,MANDI,HIMACHAL PRADESH,MANDI,partial_demographics_missing_core_fields,True,True,True,True,,,Mandi,Himachal Pradesh / MANDI,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,SHIMLA,HIMACHAL PRADESH,SHIMLA,election_only_needs_demographics,True,True,True,False,,,,Himachal Pradesh / SHIMLA,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,ANANTNAG-RAJOURI,JAMMU AND KASHMIR,ANANTNAG RAJOURI,election_only_needs_demographics,True,True,False,False,,,,Jammu and Kashmir / ANANTNAG-RAJOURI,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,BARAMULLA,JAMMU AND KASHMIR,BARAMULLA,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / BARAMULLA,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,JAMMU,JAMMU AND KASHMIR,JAMMU,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / JAMMU,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,SRINAGAR,JAMMU AND KASHMIR,SRINAGAR,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / SRINAGAR,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,UDHAMPUR,JAMMU AND KASHMIR,UDHAMPUR,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / UDHAMPUR,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jharkhand,Chatra,JHARKHAND,CHATRA,partial_demographics_missing_core_fields,True,True,True,True,,,Chatra,Jharkhand / Chatra,partial_field_skip,,6,9,manual_research_required
Jharkhand,Dhanbad,JHARKHAND,DHANBAD,partial_demographics_missing_core_fields,True,True,True,True,,,Dhanbad,Jharkhand / Dhanbad,partial_field_skip,,6,9,manual_research_required
