srno,party_type,abbreviation,party_symbol,party_name,year
362,U,LOKJANP,Whistle,Loktantrik Janshakti Party,2019
363,U,LoRP,Tractor Chalata Kisan,Loktantrik Rashrtavadi Party,2019
364,U,LPSP,Gas Cylinder,Lokpriya Samaj Party,2019
365,U,LSD,Helmet,Lok Sewa Dal,2019
366,U,LTSP,Auto- Rickshaw,Loktanter Suraksha Party,2019
367,U,MADP,Auto- Rickshaw,Moulik Adhikar Party,2019
368,U,MAHKRS,DIAMOND,Maharashtra Kranti Sena,2019
369,U,ManJP,Bead Necklace,Maanavvaadi Janta Party,2019
370,U,ManKP,Soap Dish,Manav Kranti Party,2019
371,U,MaNPa,Tooth Brush,Manvadhikar National Party,2019
372,U,MARD,Boat with Man and Sail,Mera Adhikaar Rashtriya Dal,2019
373,U,MCPI,COMPUTER,Marxist Communist Party of India (United),2019
374,U,MDKMGPH,Bangles,Mazdoor Dalit Kisaan Mahila Gareeb Party (Hindustani),2019
375,U,MDPF,Battery Torch,Manipur Democratic Peoples's Front,2019
376,U,MHD,Dolli,Mahamukti Dal,2019
377,U,mimm,Gas Cylinder,Mithilanchal Mukti Morcha,2019
378,U,MKat,Telephone,Makkalatchi Katchi,2019
379,U,MKDVP,Gas Cylinder,Mazdoor Kirayedar Vikas Party,2019
380,U,MKUP,Helicopter,Majdoor Kisan Union Party,2019
381,U,MLJK,Laptop,Marumalarchi Janatha Katchi,2019
382,U,MLPOIRF,"Cup & Saucer,Whistle,Tractor Chalata Kisan",Marxist Leninist Party of India (Red Flag),2019
383,U,MMKA,Air Conditioner,Tamizhaga Murpokku Makkal Katchi,2019
384,U,MNDP,Crane,Minorities Democratic Party,2019
385,U,MNM,Battery Torch,Makkal Needhi Maiam,2019
386,U,MNVP,Cup & Saucer,Manuvadi Party,2019
387,U,MOSP,"Walking Stick,HOCKEY & BALL",Moolniwasi Samaj Party,2019
388,U,MPEP,Bicycle,Manipur People’s Party,2019
389,U,MPJVP,Pressure Cooker,Madhya Pradesh Jan Vikas Party,2019
390,U,MPOI,Whistle,Mulnibasi Party of India,2019
391,U,MPP,Telephone,Mundadugu Praja Party,2019
392,U,MSHP,Refrigerator,"Maharashtra Swabhimaan Paksh,",2019
393,U,MSJP,Stool,Mahasankalp Janta Party,2019
394,U,MSKK,Balloon,"Makkal Sananayaga Kudiyarasu Katchi,",2019
395,U,MwSP,"Whistle,Tyres",Manavtawadi Samaj Party,2019
396,U,MYSP,Bottle,Mahila & Yuva Shakti Party,2019
397,U,NABMUP,Gift Pack,National Bhrashtachar Mukt Party,2019
398,U,NALAP,Glass Tumbler,National Labour Party,2019
399,U,NaLP,Scissors,National Lokmat Party,2019
400,U,NAP,"Frying Pan,HOCKEY & BALL,Cup & Saucer,Auto- Rickshaw,Whistle",Naitik Party,2019
401,U,NAPt,BELT,National Apni Party,2019
402,U,NATJUP,"SHIP,Tractor Chalata Kisan,BUCKET",Nationalist Justice Party,2019
403,U,NATWOMP,Gas Stove,National Women's Party,2019
404,U,NavaP,Stethoscope,Navataram Party,2019
405,U,NAWPP,Mike,Nawan Punjab Party,2019
406,U,NDDHP,Battery Torch,National Dalitha Dhal Party,2019
407,U,NDEP,Electric Pole,National Development Party,2019
408,U,NDPOI,"Apple,Pen Stand",New Democratic Party of India,2019
409,U,NED,Bat,Navbharat Ekta Dal,2019
410,U,NEINDP,Walking Stick,North East India Development Party,2019
411,U,NEP,Television,Nagrik Ekta Party,2019
412,U,NFFF,CUTTING PLIERS,National Fifty Fifty Front,2019
413,U,NIDP,"Tractor Chalata Kisan,Auto- Rickshaw",Naam Indiar Party,2019
414,U,NIP,Wallet,New India Party,2019
415,U,NIRBHP,Pencil Box,Nirbhay Bharteey Party,2019
416,U,NJANP,Drill Machine,Nationalist Janshakti Party,2019
417,U,NJP,Hour Glass,National Jagaran Party,2019
418,U,NNKP,Plastering Trowel,National Nava Kranthi Party,2019
419,U,NNMP,Ganna Kisan,Navnirman Party,2019
420,U,NNP,Auto- Rickshaw,Navbharat Nirman Party,2019
421,U,NPRP,Tractor Chalata Kisan,Nava Praja Rajyam Party,2019
422,U,NPSF,Petrol Pump,Nationalist People's Front,2019
423,U,NPT,Bat,Navodayam Party,2019
424,U,NRCong,Boat with Man and Sail,National Republican Congress,2019
425,U,NRCP,"Scissors,Cup & Saucer",Navarang Congress Party,2019
426,U,NSBHP,Ganna Kisan,Navsarjan Bharat Party,2019
427,U,NSCBRAP,Auto- Rickshaw,Netaji Subhash Chander Bose Rashtriya Azad Party,2019
428,U,NTK,Ganna Kisan,Naam Tamilar Katchi,2019
429,U,NVSP,Gas Cylinder,Nava Samaj Party,2019
430,U,NYP,"Tractor Chalata Kisan,Air Conditioner",National Youth Party,2019
431,U,OPD,Boat with Man and Sail,Odisha Pragati Dal,2019
432,U,PAP,DIAMOND,Prajatantra Aadhar Party,2019
433,U,PBI,"FLUTE,Gas Cylinder,SHIP","Proutist Bloc, India",2019
434,U,PDP,"Cup & Saucer,Ink Pot & Pen,Pot",Peoples Democratic Party,2019
435,U,PDS,Football,Party for Democratic Socialism,2019
436,U,PECP,"Glass Tumbler,Air Conditioner",Peace Party,2019
437,U,PGSP,Helmet,Pragatisheel Samaj Party,2019
438,U,PHJSP,Whistle,Prahar Janshakti Party,2019
439,U,PHRC,"Gas Cylinder,Auto- Rickshaw",Poorvanchal Rashtriya Congress,2019
440,U,PHSP,Ganna Kisan,Pichhra Samaj Party,2019
441,U,pjdl,Ring,Prem Janata Dal,2019
442,U,PJSP,Road Roller,Prajaa Swaraaj Party,2019
443,U,PLM,Man Blowing Turha,Pragatisheel Lok Manch,2019
444,U,PLP,Air Conditioner,Punjab Labour Party,2019
445,U,PMP,Batsman,Public Mission Party,2019
446,U,PMPT,"Batsman,Almirah",Purvanchal Mahapanchayat,2019
447,U,PMSP,Tractor Chalata Kisan,Pragatisheel Manav Samaj Party,2019
448,U,PNP,COCONUT FARM,Pravasi Nivasi Party,2019
449,U,PPID,"Basket containing Fruits,Black Board,Table,BASKET CONTAINING VEGETABLES,Carrom Board,Air Conditioner,Apple,Kettle",Peoples Party of India (Democratic),2019
450,U,PPIS,Bread,People's Party of India(secular),2019
451,U,PPOI,"FLUTE,Pineapple",Pyramid Party of India,2019
452,U,PRCP,"Cup & Saucer,Truck,Bat,Auto- Rickshaw",Prabuddha Republican Party,2019
453,U,PRISM,Triangle,Prism,2019
454,U,PRISMP,DIAMOND,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,2019
455,U,PRJP,Ring,Prithviraj Janshakti Party,2019
456,U,PRSHP,Helicopter,Praja Shanthi Party,2019
457,U,PRSP,Slate,Prajatantrik Samadhan Party,2019
458,U,PrStP,Syringe,Praja Satta Party,2019
459,U,PSJP,Auto- Rickshaw,Parivartan Samaj Party,2019
460,U,PSPL,"Key,FLUTE",Pragatishil Samajwadi Party (Lohia),2019
461,U,PSPU,"Whistle,Balloon",Pichhara Samaj Party United,2019
462,U,PSS,"Pot,Battery Torch,Balloon,Plastering Trowel,Pressure Cooker,Tractor Chalata Kisan",Proutist Sarva Samaj,2019
463,U,PUDEP,Tractor Chalata Kisan,Puducherry Development  Party,2019
464,U,PUJP,Violin,Purvanchal Janta Party (Secular),2019
465,U,PUNEKP,Key,Punjab Ekta Party,2019
466,U,PUNP,Helmet,People’s Union Party,2019
467,U,RaAD,Cup & Saucer,Rashtriya Ambedkar Dal,2019
468,U,RABSP,Telephone,Rashtriya Bhagidari Samaj Party,2019
469,U,RACHEP,Diesel Pump,Rashtrawadi Chetna Party,2019
470,U,RADM,Cot,Rashtriya Azad Manch,2019
471,U,RAHIS,"Helicopter,Tractor Chalata Kisan",Rashtriya Hind Sena,2019
472,U,RAHM,Ganna Kisan,Rashtriya Ahinsa Manch,2019
473,U,RAIM,Whistle,Rashtriya Indepndent Morcha,2019
474,U,RaIP,Auto- Rickshaw,Rastriya Insaaf Party,2019
475,U,RAJADP,"Cup & Saucer,Tractor Chalata Kisan",Rashtriya Jan  Adhikar Party,2019
476,U,RaJPa,"Battery Torch,Helmet,School Bag",Rashtriya Jankranti Party,2019
477,U,rajpt,Basket containing Fruits,Rashtriya Janmat Party,2019
478,U,RaJSP,"Tractor Chalata Kisan,SHIP",Rashtriya Janadhikar Suraksha Party,2019
479,U,RAJSPty,Telephone,Rastriya Aam Jan Seva Party,2019
480,U,RAJUP,Walking Stick,Rashtriya Janutthan Party,2019
481,U,RAKRD,Door Bell,Rashtravadi Kranti Dal,2019
482,U,RaNP,"Pot,Walking Stick",Rashtra Nirman Party,2019
483,U,RAPI,Helicopter,"Rashtrawadi Party of India,",2019
484,U,RAPty,Shoe,Rashtriya Aamjan Party,2019
485,U,RASAP,Cup & Saucer,Rashtriya Sahara Party,2019
486,U,RASHLSP,DIAMOND,Rashtriya Lok Sarvadhikar  Party,2019
487,U,RASJGP,CHESS BOARD,Rashtriya Jan Gaurav Party,2019
488,U,RasLP,COCONUT FARM,Rashtriya Lokswaraj Party,2019
489,U,RASMARP,"Battery Torch,Bat,Tractor Chalata Kisan",Rashtriya Maratha Party,2019
490,U,ravp,Scissors,Rajnaitik Vikalp Party,2019
491,U,RBCP,Battery Torch,Rashtriya Bahujan Congress Party,2019
492,U,RBJJP,Colour Tray & Brush,Rashtriya Bharatiya Jan Jan Party,2019
493,U,RBP,Ganna Kisan,Rashtriya Backward Party,2019
494,U,RBS,Tractor Chalata Kisan,Republican Bahujan Sena,2019
495,U,RD,Latch,Radical Democrats,2019
496,U,RDHP,Air Conditioner,Rajyadhikara Party,2019
497,U,RDU,Matchbox,Rashtriya Dal United,2019
498,U,REALDP,Pen Nib with Seven Rays,Real Democracy Party,2019
499,U,RGD,Batsman,Rashtriya Garib Dal,2019
500,U,RGOP,Tractor Chalata Kisan,Rashtriya Gondvana Party,2019
501,U,RHSP,Laptop,Rashtriya Samrasta Party,2019
502,U,RJanPty,"Slate,Cup & Saucer",Rashtriya Jansurajya Party,2019
503,U,RJANSWP,Pineapple,Rashtriya Jansangharsh Swaraj Party,2019
504,U,RJAPU,Gas Stove,Rashtriya Jan Adhikar Party (United),2019
505,U,RJAVP,Electric Pole,Rashtriya Jatigat Aarakshan Virodhi Party,2019
506,U,RJBP,Cauliflower,Rashtriya Jansambhavna Party,2019
507,U,RJBVP,Helicopter,Rashtriya Jantantrik Bharat Vikas Party,2019
508,U,RJNP,HOCKEY & BALL,Rashtriya Janasachetan Party (R.J.P.),2019
509,U,RJnPty,Sewing Machine,Rashtriya Jansena Party,2019
510,U,RJPD,FLUTE,Rashtriya Janvikas Party (Democratic),2019
511,U,RJsbhP,COCONUT FARM,Rashtriya Jansabha Party,2019
512,U,RJSNP,Coat,Rashtriya Janhit Sangharsh Party,2019
513,U,RJSPS,"Violin,Tractor Chalata Kisan,COCONUT FARM",Rashtriya Janshakti Party (Secular),2019
514,U,RKSP,"Road Roller,Telephone",Rashtriya Krantikari Samajwadi Party,2019
515,U,RLTP,Tyres,Rashtriya Loktantrik Party,2019
516,U,RMEP,"Auto- Rickshaw,Tractor Chalata Kisan",Rashtriya Mazdoor Ekta Party,2019
517,U,RMGLMP,BUCKET,Rashtriya Mangalam Party,2019
518,U,RMGP,Boat with Man and Sail,Rashtriya mahan Gantantra Party,2019
519,U,RMMP,Matchbox,Rashtriya Matadata Party,2019
520,U,RMPOI,Pot,Revolutionary Marxist Party of India,2019
521,U,RND,Road Roller,Rashtriya Naujawan Dal,2019
522,U,RNNBP,Tennis Racket & Ball ,Rashtriya Nav Nirman Bharat Party,2019
523,U,RP(K),Pen Nib with Seven Rays,Republican Paksha (Khoripa),2019
524,U,RPB,BOX,Rashtravadi Party (Bharat),2019
525,U,RPC(S),Ring,Rashtriya Praja Congress  (Secular),2019
526,U,RPI,"Iron,Sewing Machine,Mike,Helicopter,Apple",Republican Party of India,2019
527,U,RPI(A),"Pen Nib with Seven Rays,Sewing Machine,Ring,Water Melon,Gas Cylinder,Auto- Rickshaw,Baby Walker,Television,Apple,Cauliflower,Almirah,Gas Stove,Key,Laptop,Carrom Board,Helicopter",Republican Party of India (A),2019
528,U,RPI(KH),"Helicopter,Gas Cylinder",Republican Party of India (Khobragade),2019
529,U,RPI(KM),Camera,Republican Party of India  (Kamble),2019
530,U,RPIE,Chimney,Republican Party of India Ektavadi,2019
531,U,RPIK,Cup & Saucer,Republican Party of India (Karnataka),2019
532,U,RPIR,"Helicopter,Tractor Chalata Kisan",Republican Party of India (Reformist),2019
533,U,RPP,Air Conditioner,Rashtriya Pragati Party,2019
534,U,rpsn,"DIAMOND,Sewing Machine",Republican Sena,2019
535,U,RPWP,"Cup & Saucer,Bottle",Rashtriya Power Party,2019
536,U,RRP,"Almirah,Tractor Chalata Kisan,CCTV Camera,Air Conditioner,Football,Gas Cylinder",Rashtriya Rashtrawadi Party,2019
537,U,RRS,Gas Cylinder,Rayalaseema Rashtra Samithi,2019
538,U,RsAD,Walking Stick,Rashtriya Apna Dal,2019
539,U,RSDal,Sewing Machine,Rashtrawadi Shramjeevi Dal,2019
540,U,RSJVP,Balloon,Rashtriya Sarvjan Vikas Party,2019
541,U,RSMD,"Coat,Cot",Rashtriya Samanta Dal,2019
542,U,RSOSP,Glass Tumbler,Rashtriya Shoshit Samaj Party,2019
543,U,RSP(S),Battery Torch,Rashtriya Samajwadi Party  (Secular),2019
544,U,RSPS,"Cup & Saucer,Tractor Chalata Kisan,Whistle",Rashtriya Samaj Paksha,2019
545,U,RSPSR,Truck,Rashtriya Samta Party (Secular),2019
546,U,RSTSAHP,Helmet,Rashtriya Sahyog Party,2019
547,U,RSVP,Trumpet,Rashtriya Samta Vikas Party,2019
548,U,RSWD,Winnower,Rashtra Sewa Dal,2019
549,U,RTAMP,Electric Pole,Rashtriya Aadarsh Member Party,2019
550,U,RTBHP,Tiller,Raita Bharat Party,2019
551,U,RTJPS,Saw,Rashtriya Janwadi Party (Socialist),2019
552,U,RTKP,Stethoscope,Rashtriya Kranti Party,2019
553,U,RTORP,"Tractor Chalata Kisan,Battery Torch,Pressure Cooker,Auto- Rickshaw",Right to Recall Party,2019
554,U,RtrJP,Scissors,Rashtriya Janta Party,2019
555,U,RTSGP,Envelope,Rashtriya Sangail Party,2019
556,U,RUC,"Kettle,Mixee",Rashtriya Ulama Council,2019
557,U,RVLP,Coat,RASHTRIYA VIKLANG PARTY,2019
558,U,RVNP,Tractor Chalata Kisan,Rashtravadi Janata Party,2019
559,U,RVP,Ganna Kisan,Rashtriya Vikas Party,2019
560,U,RVyP,Peas,Rashtriya Vyapari Party,2019
561,U,RVZP,CHESS BOARD,Rashtra Vikas Zumbes Party,2019
562,U,SAAFP,Brush,Sathi Aur Aapka Faisala Party,2019
563,U,SABHP,Camera,Sarvodaya Bharat Party,2019
564,U,SABJANP,Electric Pole,Sabhi Jan Party,2019
565,U,SaBP,Cup & Saucer,Sankhyanupati Bhagidari Party,2019
566,U,SACP,Room Cooler,Sabse Achchhi Party,2019
567,U,SAD(M),Truck,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2019
568,U,SaDa,Pan,Sarvshreshth Dal,2019
569,U,SADSP,Auto- Rickshaw,Saman Aadmi Saman Party,2019
570,U,SADT,Farmer Ploughing Within Square,Shiromani Akali Dal (Taksali),2019
571,U,SAJP,Hat,Samajwadi Janata Party(Karnataka),2019
572,U,SAKAP,"Balloon,Tractor Chalata Kisan",Samaj Adhikar Kalyan Party,2019
573,U,SAKSP,Saw,Samrat Ashok Sena Party,2019
574,U,SamSP,Electric Pole,Samata Samadhan Party,2019
575,U,SanS,Auto- Rickshaw,Sangharsh Sena,2019
576,U,SANVP,"Refrigerator,Telephone,Harmonium,Pineapple",Sanyukt Vikas Party,2019
577,U,SAPRP,Electric Pole,Samaanya Praja Party,2019
578,U,SaRaPa,Sewing Machine,Sanman Rajkiya Paksha,2019
579,U,SaSaP,BENCH,Samajwadi Samaj Party,2019
580,U,SatBP,Black Board,Satya Bahumat Party,2019
581,U,SATKP,Pan,Satya Kranti Party,2019
582,U,SAVIPA,Cot,SARVA VIKAS PARTY,2019
583,U,SaVP,Balloon,Samta Vikas Party,2019
584,U,SBM,Television,Samaj Bhalai Morcha,2019
585,U,SBSP,"Walking Stick,Air Conditioner",Suheldev Bharatiya Samaj Party,2019
586,U,SBSPSP,Robot,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2019
587,U,SDC,"Well,Battery Torch,Hat",Secular Democratic Congress,2019
588,U,SDP(MP),"Punching Machine,Iron",Sarvadharam Party (Madhya Pradesh),2019
589,U,SDPI,"Auto- Rickshaw,Cup & Saucer,Stumps,Gift Pack,Sewing Machine,Gas Cylinder",SOCIAL DEMOCRATIC PARTY OF INDIA,2019
590,U,SDSP,Ganna Kisan,Samdarshi Samaj Party,2019
591,U,SDU,Wall Hook,Sabka Dal United,2019
592,U,SFP,Hat,Saaf Party,2019
593,U,SGUP,COMPUTER,Samagra Utthan Party,2019
594,U,SHF,Latch,Shane Hind Fourm,2019
595,U,SJDD,Ganna Kisan,Samajwadi Janata Dal Democratic,2019
596,U,SJPA,"Batsman,BUCKET,DIAMOND",Sarva Janata Party,2019
597,U,SJPI,Tiller,Social Justice Party of India,2019
598,U,SJPT,Pan,Shri Janta Party,2019
599,U,SJSMP,Laptop,Sajag Samaj Party,2019
600,U,SJVP,Apple,Sanjhi Virasat Party,2019
601,U,skd,Scissors,Samata Kranti Dal,2019
602,U,SKPP,FLUTE,Sikkim Republican Party,2019
603,U,SLDP,Batsman,Shiromani Lok Dal Party,2019
604,U,SMARTIP,DIAMOND,Smart Indians Party,2019
605,U,SMFB,"Crane,Pressure Cooker",Samajwadi Forward Bloc,2019
606,U,SNP,Glass Tumbler,Samajik Nyaya Party,2019
607,U,SoJP,Pressure Cooker,Socialist Janata Party,2019
608,U,SP(I),"Auto- Rickshaw,Ganna Kisan",Socialist Party (India),2019
609,U,SPAKP,Swing,Sapaks Party,2019
610,U,SPL,Tractor Chalata Kisan,Swaraj Party (Loktantrik),2019
611,U,SPRP,Bat,Sarvodaya Prabhat Party,2019
612,U,SSBD,Key,Shakti Sena (Bharat Desh),2019
613,U,SSD,"Saw,Almirah",Shoshit Samaj Dal,2019
614,U,ssrd,Grapes,Sanatan Sanskriti Raksha Dal,2019
615,U,STBP,"Cup & Saucer,Pressure Cooker",Swatantra Bharat Paksha,2019
616,U,STBSP,"Ganna Kisan,Hat",Svatantra Bharat Satyagrah Party,2019
617,U,STPI,COCONUT FARM,Samajtantric Party of India,2019
618,U,SUCI(C),"Battery torch,Saw,Cup & Saucer,Glass Tumbler,Scissors,Gas Cylinder,Tractor Chalata Kisan,Bat,BOX,Pot,Television",SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2019
619,U,SUSP,Glass Tumbler,Sunder Samaj Party,2019
620,U,SUTF,Telephone,Sikkim United Front,2019
621,U,svjn,"Tractor Chalata Kisan,Auto- Rickshaw",Sarvjan Lok Shakti Party,2019
622,U,SVJSP,Bicycle Pump,Sarvjan Sewa Party,2019
623,U,SVPP,"Battery Torch,Whistle",Sardar Vallabhbhai Patel Party,2019
624,U,SwaBP,"Pen Nib with Seven Rays,Neck Tie,Telephone",Swarna Bharat Party,2019
625,U,SWAJANPA,Swing,Swatantra Jantaraj Party,2019
626,U,SWAP,"Telephone,Almirah",Swabhiman Party,2019
627,U,swbi,Whistle,Swarnim Bharat Inquilab,2019
628,U,SWJP,Table,Samajwadi Jan Parishad,2019
629,U,SWP,Bat,Swabhimani Paksha,2019
630,U,SWSP,Pressure Cooker,Swatantra Samaj Party,2019
631,U,TECPI,Tractor Chalata Kisan,Telangana Communist Party of India,2019
632,U,TELYS,Pot,Telangana Yuva Shakti,2019
633,U,TGPJP,Telephone,Telangana Prajala Party,2019
634,U,TJS,BOX,Telangana Jana Samithi,2019
635,U,TMC(M),Auto- Rickshaw,Tamil Maanila Congress  (Moopanar),2019
636,U,TNLK,"Ring,Bicycle Pump",Tamil Nadu Ilangyar Katchi,2019
637,U,TNRMPI,Gas Stove,The National Road Map Party of India,2019
638,U,ToP,Stumps,Tola Party,2019
639,U,TRIPP,Battery torch,Tripura Peoples Party,2019
640,U,TSP,Mike,Telangana Sakalajanula Party,2019
641,U,TTNP,Tractor Chalata Kisan,Tamil Telugu National Party,2019
642,U,UBM,FLUTE,Universal Brotherhood Movement,2019
643,U,UDFS,Frying Pan,United Democratic Front Secular,2019
644,U,UKDD,Electric Pole,Uttarakhand Kranti Dal (Democratic),2019
645,U,UKKD,Chair,Uttarakhand Kranti Dal,2019
646,U,UMK,"Hat,Bricks,Pressure Cooker",Ulzaipali Makkal Katchy,2019
647,U,UPJP,Auto- Rickshaw,Uttama Prajaakeeya Party,2019
648,U,UPNSE,Gas Cylinder,Uttar Pradesh Navnirman Sena,2019
649,U,UPP,Scissors,UTTARAKHAND PARIVARTAN PARTY,2019
650,U,UPPL,Tractor Chalata Kisan,"United People’s Party, Liberal",2019
651,U,USIP,Tiller,United States of India Party,2019
652,U,UtPP,Television,Uttarakhand Pragatisheel Party,2019
653,U,UTSAP,Boat with Man and Sail,United Socialist Party,2019
654,U,VBA,"Cup & Saucer,Whistle,Key",Vanchit Bahujan Aaghadi,2019
655,U,VCK,"Stool,Pot,COCONUT FARM",Viduthalai Chiruthaigal Katchi,2019
656,U,VCSMP,Tiller,Vanchit Samaj Party,2019
657,U,VIP,"Glass Tumbler,Chappals",VANCHITSAMAJ INSAAF PARTY,2019
658,U,VIPty,Air Conditioner,Vikas Insaf Party,2019
659,U,VJNP,Ring,Vishwa Jana Party,2019
660,U,VMMKT,Key,Vivasayigal Makkal Munnetra Katchi,2019
661,U,VMSKP,Skipping Rope,"Vishwa Manav Samaj Kalyan Parishad,",2019
662,U,VoP,"Hat,Key",Voters Party,2019
663,U,VPI,"Gas Cylinder,Road Roller",Voters Party  International,2019
664,U,VPP,Phone Charger,Vyavastha Parivartan Party,2019
665,U,VSIP,Boat with Man and Sail,Vikassheel Insaan Party,2019
666,U,VSP,"Auto- Rickshaw,Scissors",Vishva SHakti Party,2019
667,U,WAP,Boat with Man and Sail,Wazib Adhikar Party,2019
668,U,WPOI,"Battery Torch,COMPUTER",Welfare Party Of India,2019
669,U,YJJP,"Pendulum,Cup & Saucer,Bat",Yuva Jan Jagriti Party,2019
670,U,YKP,Water Melon,Yuva Krantikari Party,2019
671,U,YSRPP,Ring,Yekikrutha Sankshema Rashtriya Praja Party,2019
672,U,YuS,Bat,Yuva Sarkar,2019
673,U,YVP,Tractor Chalata Kisan,Yuva Vikas Party,2019
674,Z,IND,"Truck,Scissors,Key,Gas Cylinder,Bat,BUCKET,Spanner,DIAMOND,Mike,Stool,Almirah,Football,Pineapple,Nail Cutter,Peas,Tractor Chalata Kisan,Road Roller,Battery Torch,Television,Helicopter,Balloon,Apple,Laptop,Air Conditioner,Cup & Saucer,Basket containing Fruits,Pressure Cooker,Trumpet,COCONUT FARM,Matchbox,Gas Stove,Tube light,Cot,Cauliflower,Pen Nib with Seven Rays,Pan,Table,Whistle,SHIP,Pot,Bangles,Harmonium,Coconut,Baby Walker,Glass Tumbler,CALCULATOR,Brief Case,Electric Pole,Dish Antenna,Green Chilli,Telephone,Bead Necklace,Auto- Rickshaw,BENCH,Hat,Bottle,Bricks,Sewing Machine,Batsman,Binoculars,Tiller,Tyres,Hand Cart,CCTV Camera,BOX,T.V. Remote,Black Board,Gift Pack,Slate,Ganna Kisan,Camera,Helmet,Ring,Frock,Stethoscope,Stumps,Kettle,Pen Stand,Pestle and Mortar,Window,Peanuts,Syringe,CARPET,Brush,Room Cooler,Shoe,Crane,CHESS BOARD,Hour Glass,School Bag,Fountain,Walking Stick,COMPUTER,HOCKEY & BALL,Coat,Plate Stand,FLUTE,Chappals,Plastering Trowel,Ludo,Chimney,CHAIN,Room Heater,Man Blowing Turha,Pen Drive,Diesel Pump,Capsicum,Violin,Tray,Well,Boat with Man and Sail,Rubber Stamp,Head Phone,Computer Mouse,Ear Rings,Lady Finger,Throwing a Javelin,Latch,CUBE,Carrom Board,Swing,Bread,Letter Box,Water Melon,Saw,Tent,BELT,Bicycle Pump,Cake,Grapes,Typewriter,Drill Machine,Chakki,Shutter,Lighter,Sofa,Tongs,Petrol Pump,Winnower,Extension Board,Tooth Brush,Iron,Pants,Neck Tie,Robot,Colour Tray & Brush,Football Player,Frying Pan,Skipping Rope,Socks,Toffees,Jackfruit,Switchboard,Ginger,BISCUIT,Sitar,Immersion Rod,Mixee,Pears,Noodles Bowl,Envelope,Plate Containing Food,Razor,Ice Cream,Brick,Phone Charger,Bread Toaster,Clip,Water Tank,Punching Machine,Wallet,Door Bell,Tennis Racket & Ball ,Funnel,Dolli,PILLOW,Lady Purse,Tooth Paste,CUTTING PLIERS,Farmer Ploughing Within Square,CHAPATI ROLLER,Refrigerator,Dumbbells,Gramophone,Flag with Three Stars,Pencil Box,Soap Dish,Triangle,Wheel Barrow,Lunch Box,Toffee,CAN,PENCIL SHARPNER,Door Handle,Pendulum,Stapler,Wool and Needle,Safety Pin,Car,Kitchen Sink,Tea Filter",Independent,2019
675,Z1,NOTA,NOTA,None of the Above,2019
Disclaimer,,,,,2019
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,2019
